 Count  Overhead File                    Line Function
     6         0 @Base\set.jl             341 unique!(::Array{Int64,1})
     4         0 @Base\set.jl             344 unique!(::Array{Int64,1})
     1         0 @Base\some.jl             34 convert
     6         2 @Base\sort.jl             91 issorted(::Array{Int64,1}; lt::...
     1         0 @Base\sort.jl            721 sort!(::Array{Int64,1}; alg::Ba...
    59         0 @Base\sort.jl            733 #sort!#7
     3         0 @Base\sort.jl            733 sort!(::Array{Int64,1}; alg::Ba...
     6         0 @Base\sort.jl            780 #sort#8
     6         0 @Base\sort.jl             91 issorted##kw
     4         4 @Base\sort.jl              ? sort!(::Array{ClarkeWright.Savi...
     1         0 @Base\sort.jl            496 sort!(::Array{ClarkeWright.Savi...
     3         0 @Base\sort.jl            498 sort!(::Array{ClarkeWright.Savi...
     2         0 @Base\sort.jl            499 sort!(::Array{ClarkeWright.Savi...
     2         0 @Base\sort.jl            505 sort!(::Array{ClarkeWright.Savi...
    62         0 @Base\sort.jl            582 sort!
     8         0 @Base\sort.jl            583 sort!(::Array{ClarkeWright.Savi...
     1         0 @Base\sort.jl            586 sort!(::Array{ClarkeWright.Savi...
    52         0 @Base\sort.jl            588 sort!(::Array{ClarkeWright.Savi...
    51         0 @Base\sort.jl            589 sort!(::Array{ClarkeWright.Savi...
     1         0 @Base\sort.jl            592 sort!(::Array{ClarkeWright.Savi...
     7         0 @Base\sort.jl            593 sort!(::Array{ClarkeWright.Savi...
     1         1 @Base\sort.jl            599 sort!(::Array{ClarkeWright.Savi...
    20         0 @Base\sort.jl            600 sort!(::Array{ClarkeWright.Savi...
     7         0 @Base\sort.jl            601 sort!(::Array{ClarkeWright.Savi...
     6         0 @Base\sort.jl            604 sort!(::Array{ClarkeWright.Savi...
     1         0 @Base\sort.jl            605 sort!(::Array{ClarkeWright.Savi...
     1         0 @Base\sort.jl            610 sort!(::Array{ClarkeWright.Savi...
    62         0 @Base\sort.jl            673 sort!
    63         0 @Base\sort.jl            721 sort!##kw
     6         0 @Base\sort.jl            780 sort##kw
  4550         0 @Juno\src\frontend.jl    109 macro expansion
     1         1 ...\src\conversions.jl    66 now()
     2         0 ...\src\conversions.jl    67 now()
     3         0 ...\src\conversions.jl    68 now()
     1         0 ...\src\conversions.jl    69 now()
     1         0 ...\Dates\src\types.jl   194 DateTime
     1         0 ...\Dates\src\types.jl   367 DateTime
     1         0 ...\Dates\src\types.jl   139 totaldays(::Int64, ::Int64, ::I...
  4550         0 ...file\src\Profile.jl    28 macro expansion
  4550         0 ....5\REPL\src\REPL.jl   292 run_repl(::REPL.AbstractREPL, :...
  4550         0 ....5\REPL\src\REPL.jl   134 eval_user_input(::Any, ::REPL.R...
  4550         0 ....5\REPL\src\REPL.jl   195 repl_backend_loop(::REPL.REPLBa...
  4550         0 ....5\REPL\src\REPL.jl   288 run_repl(::REPL.AbstractREPL, :...
  4550         0 ....5\REPL\src\REPL.jl   180 start_repl_backend(::REPL.REPLB...
     1         0 ...\Random\src\RNGs.jl   230 mt_pop!
     1         0 ...\Random\src\RNGs.jl   392 rand
     1         0 ...andom\src\Random.jl   253 rand
     1         0 ...andom\src\Random.jl   256 rand
     1         0 ...andom\src\Random.jl   258 rand
     2         0 ...andom\src\Random.jl   279 rand
     2         0 ...andom\src\Random.jl   280 rand
     2         0 ...andom\src\Random.jl   283 rand
     2         1 ...andom\src\Random.jl   266 rand!(::Random.MersenneTwister,...
     1         0 ...andom\src\Random.jl   271 rand!
     1         0 ...m\src\generation.jl   325 rand(::Random.MersenneTwister, ...
     1         0 ...m\src\generation.jl   326 rand(::Random.MersenneTwister, ...
     2         0 ...m\src\generation.jl   387 rand
  4550         0 ...P/PBP_Loggi\main.jl    47 main(::Array{String,1})
     6         0 ...CVRP_Controllers.jl   119 deleteDelivery!
     2         0 ...CVRP_Controllers.jl   125 deleteDelivery!
     3         0 ...CVRP_Controllers.jl   130 deleteDelivery!
     1         0 ...CVRP_Controllers.jl   131 deleteDelivery!
     1         0 ...CVRP_Controllers.jl   138 deleteDelivery!
     8         0 ...CVRP_Controllers.jl   149 deleteDelivery!
     2         2 ...CVRP_Controllers.jl   465 getBestInsertionPosition
    25         0 ...CVRP_Controllers.jl   415 getClosestRoute
  2088      2088 ...CVRP_Controllers.jl   429 getClosestRoute
    63         0 ...CVRP_Controllers.jl   430 getClosestRoute
   328       156 ...CVRP_Controllers.jl   431 getClosestRoute
     8         8 ...CVRP_Controllers.jl   432 getClosestRoute
  1377      1377 ...CVRP_Controllers.jl   434 getClosestRoute
   253        43 ...CVRP_Controllers.jl   438 getClosestRoute
     1         0 ...CVRP_Controllers.jl    32 getDistance
   142         0 ...CVRP_Controllers.jl   213 getStringDistance
     1         0 ...CVRP_Controllers.jl    62 pushDelivery!
     1         0 ...CVRP_Controllers.jl    68 pushDelivery!
     4         0 ...CVRP_Controllers.jl    72 pushDelivery!
     2         0 ...\CVRP_Structures.jl   141 CVRP_Structures.Route(::Int64, ...
    12         0 ...VRP\ClarkeWright.jl    34 clarkeWrightSolution(::CVRP_Str...
    59         0 ...VRP\ClarkeWright.jl    35 clarkeWrightSolution(::CVRP_Str...
     4         0 ...VRP\ClarkeWright.jl    42 clarkeWrightSolution(::CVRP_Str...
     3         0 ...VRP\ClarkeWright.jl    44 clarkeWrightSolution(::CVRP_Str...
    78         0 ...VRP\ClarkeWright.jl    33 clarkeWrightSolution
     3         0 ...VRP\ClarkeWright.jl   213 getPairs(::CVRP_Structures.Cvrp...
     1         0 ...VRP\ClarkeWright.jl   220 getPairs(::CVRP_Structures.Cvrp...
     2         0 ...VRP\ClarkeWright.jl   223 getPairs(::CVRP_Structures.Cvrp...
     6         2 ...VRP\ClarkeWright.jl   226 getPairs(::CVRP_Structures.Cvrp...
     1         1 ...VRP\ClarkeWright.jl     ? insertPair!(::Val{:Merge}, ::CV...
     6         0 ...VRP\ClarkeWright.jl    58 insertPair!
     1         1 ...VRP\ClarkeWright.jl    62 insertPair!(::Val{:Merge}, ::CV...
     2         0 ...VRP\ClarkeWright.jl    68 insertPair!(::Val{:Merge}, ::CV...
     2         0 ...VRP\ClarkeWright.jl    88 insertPair!(::Val{:New}, ::CVRP...
     3         0 ...uristic_Solution.jl    48 ils(::CVRP_Structures.CvrpAuxil...
     2         0 ...uristic_Solution.jl    49 ils(::CVRP_Structures.CvrpAuxil...
  4467         0 ...uristic_Solution.jl   114 ils(::CVRP_Structures.CvrpAuxil...
  4472         0 ...uristic_Solution.jl    43 (::Heuristic_Solution.var"#ils#...
     7         0 ...uristic_Solution.jl   151 rna(::CVRP_Structures.CvrpAuxil...
     1         0 ...uristic_Solution.jl   153 rna(::CVRP_Structures.CvrpAuxil...
  4447         1 ...uristic_Solution.jl   154 rna(::CVRP_Structures.CvrpAuxil...
    12         0 ...uristic_Solution.jl   172 rna(::CVRP_Structures.CvrpAuxil...
     3         3 ...ighborhood\Shift.jl   111 #21
     1         0 ...ighborhood\Shift.jl    81 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl    83 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl    86 execute(::CVRP_Structures.CvrpA...
     2         0 ...ighborhood\Shift.jl    88 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl    90 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl    92 execute(::CVRP_Structures.CvrpA...
     5         0 ...ighborhood\Shift.jl   111 execute(::CVRP_Structures.CvrpA...
     3         0 ...ighborhood\Shift.jl   128 execute(::CVRP_Structures.CvrpA...
     2         0 ...ighborhood\Shift.jl   131 execute(::CVRP_Structures.CvrpA...
   147         0 ...ighborhood\Shift.jl   142 execute(::CVRP_Structures.CvrpA...
  4218         0 ...ighborhood\Shift.jl   154 execute(::CVRP_Structures.CvrpA...
     1         1 ...ighborhood\Shift.jl   155 execute(::CVRP_Structures.CvrpA...
     2         0 ...ighborhood\Shift.jl   167 execute(::CVRP_Structures.CvrpA...
     2         0 ...ighborhood\Shift.jl   173 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl   184 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl   187 execute(::CVRP_Structures.CvrpA...
     1         0 ...ighborhood\Shift.jl   190 execute(::CVRP_Structures.CvrpA...
     5         0 ...ighborhood\Shift.jl   193 execute(::CVRP_Structures.CvrpA...
     2         0 ...ighborhood\Shift.jl   194 execute(::CVRP_Structures.CvrpA...
     7         0 ...ighborhood\Shift.jl   230 reject(::CVRP_Structures.CvrpAu...
     2         0 ...ighborhood\Shift.jl   231 reject(::CVRP_Structures.CvrpAu...
     1         1 ...eighborhood\Swap.jl   109 #26
     1         1 ...eighborhood\Swap.jl     ? execute(::CVRP_Structures.CvrpA...
     5         0 ...eighborhood\Swap.jl   108 execute(::CVRP_Structures.CvrpA...
    21         0 ...eighborhood\Swap.jl   109 execute(::CVRP_Structures.CvrpA...
     1         0 ...eighborhood\Swap.jl   125 execute(::CVRP_Structures.CvrpA...
     4         0 ...eighborhood\Swap.jl   126 execute(::CVRP_Structures.CvrpA...
     4         0 ...eighborhood\Swap.jl   129 execute(::CVRP_Structures.CvrpA...
     1         0 ...eighborhood\Swap.jl   148 execute(::CVRP_Structures.CvrpA...
     4         0 ...eighborhood\Swap.jl   149 execute(::CVRP_Structures.CvrpA...
     1         0 ...eighborhood\Swap.jl   151 execute(::CVRP_Structures.CvrpA...
     1         0 ...eighborhood\Swap.jl   152 execute(::CVRP_Structures.CvrpA...
     4         0 ...eighborhood\Swap.jl   170 execute(::CVRP_Structures.CvrpA...
     1         1 ...eighborhood\Swap.jl   172 execute(::CVRP_Structures.CvrpA...
     1         0 ...eighborhood\Swap.jl   181 execute(::CVRP_Structures.CvrpA...
     2         0 ...eighborhood\Swap.jl   224 reject(::CVRP_Structures.CvrpAu...
     1         0 ...eighborhood\Swap.jl   225 reject(::CVRP_Structures.CvrpAu...
  4550         0 ...D-CVRP\PBP_Loggi.jl    94 cvrp(::Argument; DEBUG::Bool)
    78         0 ...D-CVRP\PBP_Loggi.jl   176 solve(::CVRP_Structures.CvrpDat...
  4472         0 ...D-CVRP\PBP_Loggi.jl   179 solve(::CVRP_Structures.CvrpDat...
  4550         0 ...D-CVRP\PBP_Loggi.jl    64 cvrp##kw
  4550         0 ...D-CVRP\PBP_Loggi.jl   159 solve
Total snapshots: 4798
